match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
419157,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore
419158,Kolkata Knight Riders,Rajasthan Royals,bat,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
419159,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings
419160,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils
419161,Kolkata Knight Riders,Mumbai Indians,bat,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
419162,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,Mumbai Indians,Royal Challengers Bangalore
419163,Chennai Super Kings,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers
419164,Royal Challengers Bangalore,Deccan Chargers,bat,Dr DY Patil Sports Academy,Deccan Chargers,Royal Challengers Bangalore
419165,Chennai Super Kings,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians
501198,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
501199,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals
501200,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore
501201,Mumbai Indians,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
501202,Pune Warriors,Kings XI Punjab,bat,Dr DY Patil Sports Academy,Kings XI Punjab,Pune Warriors
501203,Kolkata Knight Riders,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Deccan Chargers
501204,Rajasthan Royals,Delhi Daredevils,bat,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
501205,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
501206,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab
501207,Pune Warriors,Kochi Tuskers Kerala,bat,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors
501208,Deccan Chargers,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore
501209,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
501210,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Wankhede Stadium,Mumbai Indians,Kochi Tuskers Kerala
501211,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
501212,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab
501213,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,Pune Warriors,Delhi Daredevils
501214,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
501215,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Nehru Stadium,Chennai Super Kings,Kochi Tuskers Kerala
501216,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils
501218,Mumbai Indians,Pune Warriors,bat,Wankhede Stadium,Pune Warriors,Mumbai Indians
501219,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Eden Gardens,Kochi Tuskers Kerala,Kolkata Knight Riders
501220,Kings XI Punjab,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals
501221,Mumbai Indians,Chennai Super Kings,field,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
501222,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
501223,Delhi Daredevils,Kings XI Punjab,field,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab
501224,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Deccan Chargers
501225,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Kochi Tuskers Kerala,Rajasthan Royals
501226,Chennai Super Kings,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors
501227,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore
501228,Chennai Super Kings,Pune Warriors,bat,Dr DY Patil Sports Academy,Pune Warriors,Chennai Super Kings
501229,Deccan Chargers,Kochi Tuskers Kerala,field,Nehru Stadium,Deccan Chargers,Kochi Tuskers Kerala
501230,Kolkata Knight Riders,Delhi Daredevils,field,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Daredevils
501231,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals
501232,Royal Challengers Bangalore,Pune Warriors,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors
501233,Delhi Daredevils,Delhi Daredevils,bat,Nehru Stadium,Delhi Daredevils,Kochi Tuskers Kerala
501234,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
501235,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals
501236,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers
501237,Mumbai Indians,Kings XI Punjab,field,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
501238,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,Delhi Daredevils,Kochi Tuskers Kerala
