match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
598008,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
598009,Pune Warriors,Rajasthan Royals,bat,Subrata Roy Sahara Stadium,Rajasthan Royals,Pune Warriors
598010,Sunrisers Hyderabad,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad
598011,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Pune Warriors
598012,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
598013,Kolkata Knight Riders,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad
598014,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
598015,Pune Warriors,Pune Warriors,bat,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Chennai Super Kings
598016,Kings XI Punjab,Kolkata Knight Riders,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders
598017,Unknown,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
598018,Sunrisers Hyderabad,Pune Warriors,field,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Pune Warriors
598019,Rajasthan Royals,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians
598020,Chennai Super Kings,Chennai Super Kings,bat,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils
598021,Sunrisers Hyderabad,Kings XI Punjab,bat,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
598022,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings
598023,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
598024,Delhi Daredevils,Mumbai Indians,bat,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
598025,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab
598026,Chennai Super Kings,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
598027,Royal Challengers Bangalore,Pune Warriors,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors
598059,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab
598029,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
598030,Chennai Super Kings,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings
598031,Kolkata Knight Riders,Kings XI Punjab,bat,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
598032,Rajasthan Royals,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals
598033,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
598034,Chennai Super Kings,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
598035,Delhi Daredevils,Pune Warriors,field,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Pune Warriors
598036,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals
598037,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
598038,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors
598039,Sunrisers Hyderabad,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
598040,Delhi Daredevils,Kolkata Knight Riders,bat,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,Delhi Daredevils
598041,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab
598042,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Pune Warriors
598043,Kolkata Knight Riders,Rajasthan Royals,bat,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
598044,Sunrisers Hyderabad,Delhi Daredevils,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad
598046,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
598047,Rajasthan Royals,Pune Warriors,bat,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals
598064,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab
598049,Rajasthan Royals,Delhi Daredevils,bat,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
598050,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders
598051,Chennai Super Kings,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad
598052,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals
598053,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Pune Warriors
598054,Royal Challengers Bangalore,Delhi Daredevils,field,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
598055,Mumbai Indians,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians
598056,Sunrisers Hyderabad,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab
598057,Kolkata Knight Riders,Kolkata Knight Riders,field,JSCA International Stadium Complex,Royal Challengers Bangalore,Kolkata Knight Riders
598058,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
598060,Mumbai Indians,Sunrisers Hyderabad,bat,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
598045,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
598062,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
598061,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex,Pune Warriors,Kolkata Knight Riders
598063,Mumbai Indians,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
598028,Kings XI Punjab,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
598065,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals
598066,Kings XI Punjab,Mumbai Indians,field,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Mumbai Indians
598068,Royal Challengers Bangalore,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings
598067,Pune Warriors,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils
598069,Sunrisers Hyderabad,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad
598070,Chennai Super Kings,Chennai Super Kings,bat,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians
598071,Rajasthan Royals,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals
598072,Mumbai Indians,Rajasthan Royals,bat,Eden Gardens,Rajasthan Royals,Mumbai Indians
598073,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Mumbai Indians,Chennai Super Kings
729279,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians
729281,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore
729283,Kings XI Punjab,Chennai Super Kings,bat,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab
729285,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals
729287,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore
729289,Delhi Daredevils,Kolkata Knight Riders,bat,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils
729291,Kings XI Punjab,Kings XI Punjab,field,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab
729293,Chennai Super Kings,Chennai Super Kings,bat,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils
729295,Kings XI Punjab,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad
729297,Chennai Super Kings,Rajasthan Royals,field,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals
729299,Kolkata Knight Riders,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
729301,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils
729303,Chennai Super Kings,Mumbai Indians,bat,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings
729305,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals
729307,Kings XI Punjab,Kolkata Knight Riders,field,Sheikh Zayed Stadium,Kings XI Punjab,Kolkata Knight Riders
729309,Delhi Daredevils,Mumbai Indians,bat,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils
729311,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings
729313,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
729315,Unknown,Rajasthan Royals,bat,Sheikh Zayed Stadium,Rajasthan Royals,Kolkata Knight Riders
729317,Sunrisers Hyderabad,Mumbai Indians,field,Dubai International Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians
733971,Chennai Super Kings,Chennai Super Kings,bat,JSCA International Stadium Complex,Chennai Super Kings,Kolkata Knight Riders
733973,Mumbai Indians,Kings XI Punjab,bat,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
733975,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals
733977,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
733979,Rajasthan Royals,Kolkata Knight Riders,field,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders
733981,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings
733983,Mumbai Indians,Royal Challengers Bangalore,field,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
733985,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
733987,Kings XI Punjab,Chennai Super Kings,field,Barabati Stadium,Kings XI Punjab,Chennai Super Kings
733989,Sunrisers Hyderabad,Rajasthan Royals,field,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,Rajasthan Royals
733991,Kings XI Punjab,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
733993,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad
733995,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
733997,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Kings XI Punjab,Kolkata Knight Riders
733999,Rajasthan Royals,Royal Challengers Bangalore,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals
734001,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians
734003,Chennai Super Kings,Rajasthan Royals,bat,JSCA International Stadium Complex,Rajasthan Royals,Chennai Super Kings
734005,Royal Challengers Bangalore,Delhi Daredevils,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
734007,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab
734009,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Mumbai Indians,Kolkata Knight Riders
734011,Rajasthan Royals,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils
734013,Royal Challengers Bangalore,Chennai Super Kings,bat,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore
734015,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders
734017,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",Mumbai Indians,Rajasthan Royals
734019,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab
734021,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
734023,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
734025,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
734027,Kolkata Knight Riders,Royal Challengers Bangalore,field,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
734029,Sunrisers Hyderabad,Sunrisers Hyderabad,field,JSCA International Stadium Complex,Chennai Super Kings,Sunrisers Hyderabad
734031,Mumbai Indians,Delhi Daredevils,field,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
734033,Kings XI Punjab,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals
734035,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings
734037,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
734039,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
734041,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Rajasthan Royals,Mumbai Indians
734043,Kolkata Knight Riders,Kings XI Punjab,field,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab
734045,Chennai Super Kings,Chennai Super Kings,field,Brabourne Stadium,Mumbai Indians,Chennai Super Kings
734047,Kings XI Punjab,Chennai Super Kings,field,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings
734049,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Kings XI Punjab,Kolkata Knight Riders
829705,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
829707,Chennai Super Kings,Delhi Daredevils,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
829709,Rajasthan Royals,Kings XI Punjab,field,Maharashtra Cricket Association Stadium,Rajasthan Royals,Kings XI Punjab
829711,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad
829713,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
829715,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals
829717,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
829719,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad
829721,Rajasthan Royals,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",Mumbai Indians,Rajasthan Royals
829725,Delhi Daredevils,Kings XI Punjab,bat,Maharashtra Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
829727,Rajasthan Royals,Rajasthan Royals,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals
829729,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
829731,Delhi Daredevils,Delhi Daredevils,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Sunrisers Hyderabad
829733,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kolkata Knight Riders
829735,Rajasthan Royals,Chennai Super Kings,bat,"Sardar Patel Stadium, Motera",Chennai Super Kings,Rajasthan Royals
829737,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore
829739,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
829741,Unknown,Kings XI Punjab,field,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kings XI Punjab
829743,Sunrisers Hyderabad,Kolkata Knight Riders,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders
829745,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
829747,Delhi Daredevils,Mumbai Indians,field,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
829749,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Sardar Patel Stadium, Motera",Rajasthan Royals,Royal Challengers Bangalore
829751,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad
829753,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab
829757,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore
829759,Sunrisers Hyderabad,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab
829765,Chennai Super Kings,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
829763,Unknown,Rajasthan Royals,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Unknown
829723,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
829767,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
829769,Mumbai Indians,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
829771,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
829773,Sunrisers Hyderabad,Chennai Super Kings,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings
829775,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab
829777,Rajasthan Royals,Delhi Daredevils,field,Brabourne Stadium,Rajasthan Royals,Delhi Daredevils
829779,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
829781,Kolkata Knight Riders,Sunrisers Hyderabad,field,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad
829783,Mumbai Indians,Delhi Daredevils,bat,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
829785,Royal Challengers Bangalore,Kings XI Punjab,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
829761,Kolkata Knight Riders,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
829787,Sunrisers Hyderabad,Rajasthan Royals,field,Brabourne Stadium,Sunrisers Hyderabad,Rajasthan Royals
829789,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
829791,Kolkata Knight Riders,Kings XI Punjab,bat,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
829793,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Delhi Daredevils
829795,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
829797,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals
829799,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab
829801,Delhi Daredevils,Chennai Super Kings,bat,Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,Delhi Daredevils
829803,Kings XI Punjab,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore
829805,Mumbai Indians,Kolkata Knight Riders,field,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders
829807,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
829809,Chennai Super Kings,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings
829811,Rajasthan Royals,Rajasthan Royals,bat,Brabourne Stadium,Rajasthan Royals,Kolkata Knight Riders
829813,Unknown,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
829815,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians
829817,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
829819,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals
829821,Chennai Super Kings,Chennai Super Kings,field,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings
829823,Mumbai Indians,Chennai Super Kings,field,Eden Gardens,Mumbai Indians,Chennai Super Kings
980901,Rising Pune Supergiants,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants
980903,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
980905,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions
980907,Royal Challengers Bangalore,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad
980909,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
980911,Gujarat Lions,Rising Pune Supergiants,bat,Saurashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions
980913,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
980915,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders
980917,Gujarat Lions,Gujarat Lions,field,Wankhede Stadium,Mumbai Indians,Gujarat Lions
980919,Kings XI Punjab,Rising Pune Supergiants,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,Kings XI Punjab
980921,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
980923,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
980925,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders
980927,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
980929,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium,Gujarat Lions,Sunrisers Hyderabad
980931,Royal Challengers Bangalore,Rising Pune Supergiants,field,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rising Pune Supergiants
980933,Delhi Daredevils,Mumbai Indians,field,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
980935,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
980937,Gujarat Lions,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions
980939,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders
980941,Mumbai Indians,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Kings XI Punjab
980943,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiants
980945,Gujarat Lions,Delhi Daredevils,field,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils
980947,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
980949,Gujarat Lions,Gujarat Lions,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions
980951,Delhi Daredevils,Kolkata Knight Riders,field,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
980953,Sunrisers Hyderabad,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
980955,Kings XI Punjab,Gujarat Lions,field,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions
980957,Mumbai Indians,Mumbai Indians,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians
980959,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders
980961,Delhi Daredevils,Delhi Daredevils,field,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Daredevils
980963,Kolkata Knight Riders,Kings XI Punjab,field,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab
980965,Rising Pune Supergiants,Rising Pune Supergiants,field,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiants
980967,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
980969,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Rising Pune Supergiants,Royal Challengers Bangalore
