matchId,team1,team2,tossWinner,venue,team1_runs,team2_runs,winner,team1_win
320,Sri Lanka,Ireland,Sri Lanka,Lord's,144,135,Sri Lanka,1
323,England,Australia,Australia,Bellerive Oval,155,161,Australia,0
334,Sri Lanka,India,India,"Punjab Cricket Association Stadium, Mohali",206,211,India,0
335,England,Australia,England,Riverside Ground,195,168,England,1
34,Pakistan,New Zealand,Pakistan,Dubai International Cricket Stadium,166,119,Pakistan,1
340,Afghanistan,West Indies,West Indies,"Warner Park, Basseterre",146,147,West Indies,0
342,South Africa,Sri Lanka,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",163,164,Sri Lanka,0
345,England,New Zealand,England,McLean Park,241,165,England,1
348,England,New Zealand,New Zealand,"Zayed Cricket Stadium, Abu Dhabi",166,167,New Zealand,0
35,Pakistan,New Zealand,New Zealand,Westpac Stadium,105,106,New Zealand,0
353,South Africa,Australia,South Africa,St George's Park,158,146,South Africa,1
356,Australia,West Indies,West Indies,Shere Bangla National Stadium,178,179,West Indies,0
359,India,Bangladesh,India,"Vidarbha Cricket Association Stadium, Jamtha",174,144,India,1
361,England,New Zealand,England,Seddon Park,194,192,England,1
364,Bangladesh,Australia,Australia,Shere Bangla National Stadium,153,158,Australia,0
368,England,Pakistan,England,Sheikh Zayed Stadium,129,124,England,1
369,Pakistan,England,England,Dubai International Cricket Stadium,129,130,England,0
375,West Indies,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",190,140,West Indies,1
378,India,Pakistan,India,New Wanderers Stadium,157,152,India,1
379,India,Bangladesh,India,Trent Bridge,180,155,India,1
380,Pakistan,South Africa,Pakistan,Newlands,176,170,Pakistan,1
382,India,Sri Lanka,India,Pallekele International Cricket Stadium,155,116,India,1
383,Sri Lanka,New Zealand,Sri Lanka,Trent Bridge,158,110,Sri Lanka,1
384,New Zealand,India,New Zealand,Seddon Park,212,208,New Zealand,1
385,Zimbabwe,Pakistan,Pakistan,Rawalpindi Cricket Stadium,134,137,Pakistan,0
387,Zimbabwe,India,Zimbabwe,Harare Sports Club,145,135,Zimbabwe,1
389,Sri Lanka,Australia,Australia,R Premadasa Stadium,128,130,Australia,0
39,Pakistan,New Zealand,New Zealand,Seddon Park,163,164,New Zealand,0
390,New Zealand,Bangladesh,New Zealand,Pallekele International Cricket Stadium,191,132,New Zealand,1
391,Sri Lanka,England,Sri Lanka,Kennington Oval,183,174,Sri Lanka,1
394,South Africa,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",166,150,South Africa,1
396,Australia,England,Australia,Bellerive Oval,213,200,Australia,1
397,New Zealand,Pakistan,Pakistan,Dubai International Cricket Stadium,153,154,Pakistan,0
399,New Zealand,Pakistan,Pakistan,McLean Park,173,177,Pakistan,0
402,India,New Zealand,New Zealand,Dubai International Cricket Stadium,110,111,New Zealand,0
406,Afghanistan,Sri Lanka,Sri Lanka,Eden Gardens,153,155,Sri Lanka,0
413,Bangladesh,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",141,137,Bangladesh,1
418,South Africa,Pakistan,Pakistan,"SuperSport Park, Centurion",203,205,Pakistan,0
419,Australia,Sri Lanka,Sri Lanka,Western Australia Cricket Association Ground,133,135,Sri Lanka,0
42,Australia,India,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",160,161,India,0
420,Bangladesh,Zimbabwe,Bangladesh,Sheikh Abu Naser Stadium,167,125,Bangladesh,1
421,Zimbabwe,India,India,Harare Sports Club,111,112,India,0
423,England,South Africa,South Africa,Riverside Ground,118,119,South Africa,0
425,Sri Lanka,Pakistan,Sri Lanka,Lord's,150,131,Sri Lanka,1
426,New Zealand,West Indies,New Zealand,Eden Park,189,108,New Zealand,1
427,Pakistan,South Africa,South Africa,Sheikh Zayed Stadium,119,120,South Africa,0
43,Afghanistan,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,158,141,Afghanistan,1
431,India,Australia,Australia,M.Chinnaswamy Stadium,190,194,Australia,0
437,England,Sri Lanka,Sri Lanka,County Ground,136,137,Sri Lanka,0
44,England,Afghanistan,England,R Premadasa Stadium,196,80,England,1
446,India,Sri Lanka,India,Barabati Stadium,180,87,India,1
457,New Zealand,Zimbabwe,New Zealand,Harare Sports Club,187,154,New Zealand,1
461,South Africa,Australia,Australia,"Zayed Cricket Stadium, Abu Dhabi",118,121,Australia,0
462,India,England,India,Narendra Modi Stadium,224,188,India,1
463,West Indies,England,England,"Darren Sammy National Cricket Stadium, St Lucia",160,161,England,0
464,Sri Lanka,Australia,Australia,"Brisbane Cricket Ground, Woolloongabba",117,118,Australia,0
465,New Zealand,South Africa,New Zealand,SuperSport Park,177,145,New Zealand,1
467,South Africa,New Zealand,South Africa,Zahur Ahmed Chowdhury Stadium,170,168,South Africa,1
469,Pakistan,New Zealand,Pakistan,Eden Park,171,155,Pakistan,1
477,Pakistan,Australia,Pakistan,Shere Bangla National Stadium,191,175,Pakistan,1
478,India,England,England,Eden Gardens,120,121,England,0
482,Australia,West Indies,Australia,Bellerive Oval,179,141,Australia,1
485,Sri Lanka,Pakistan,Pakistan,Shere Bangla National Stadium,150,151,Pakistan,0
486,England,Pakistan,Pakistan,Old Trafford,135,139,Pakistan,0
489,New Zealand,England,England,Feroz Shah Kotla,153,159,England,0
49,England,Australia,England,The Rose Bowl,179,79,England,1
491,Zimbabwe,Afghanistan,Afghanistan,Queens Sports Club,190,191,Afghanistan,0
493,Australia,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",189,185,Australia,1
495,New Zealand,India,New Zealand,Saurashtra Cricket Association Stadium,196,156,New Zealand,1
499,Australia,Zimbabwe,Australia,Harare Sports Club,229,129,Australia,1
5,West Indies,India,India,Central Broward Regional Park Stadium Turf Ground,95,98,India,0
507,New Zealand,South Africa,South Africa,Kingsmead,153,158,South Africa,0
509,Zimbabwe,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",105,79,Zimbabwe,1
51,Ireland,Afghanistan,Afghanistan,Sheikh Zayed Stadium,125,126,Afghanistan,0
514,West Indies,Australia,Australia,"Zayed Cricket Stadium, Abu Dhabi",157,161,Australia,0
515,England,Sri Lanka,England,"The Rose Bowl, Southampton",180,91,England,1
516,South Africa,Australia,Australia,Newlands,178,181,Australia,0
518,Sri Lanka,South Africa,South Africa,"R Premadasa Stadium, Colombo",103,105,South Africa,0
52,South Africa,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",167,166,South Africa,1
521,India,South Africa,South Africa,Barabati Stadium,92,96,South Africa,0
524,Sri Lanka,West Indies,West Indies,M Chinnaswamy Stadium,122,127,West Indies,0
525,Pakistan,Bangladesh,Bangladesh,Shere Bangla National Stadium,129,131,Bangladesh,0
527,India,Sri Lanka,Sri Lanka,"R.Premadasa Stadium, Khettarama",174,175,Sri Lanka,0
528,New Zealand,England,New Zealand,Seddon Park,192,137,New Zealand,1
53,West Indies,Sri Lanka,West Indies,R Premadasa Stadium,137,101,West Indies,1
530,Australia,South Africa,South Africa,Kingsmead,157,158,South Africa,0
532,Bangladesh,Sri Lanka,Bangladesh,R Premadasa Stadium,176,131,Bangladesh,1
533,Pakistan,Sri Lanka,Pakistan,R Premadasa Stadium,175,146,Pakistan,1
536,Pakistan,South Africa,Pakistan,"Beausejour Stadium, Gros Islet",148,137,Pakistan,1
537,England,South Africa,South Africa,New Wanderers Stadium,171,172,South Africa,0
538,India,Bangladesh,India,M Chinnaswamy Stadium,146,145,India,1
539,Sri Lanka,New Zealand,New Zealand,Providence Stadium,135,139,New Zealand,0
54,England,Australia,Australia,Melbourne Cricket Ground,130,131,Australia,0
543,England,India,England,Edgbaston,180,177,England,1
547,Australia,India,India,Sydney Cricket Ground,164,168,India,0
548,Sri Lanka,New Zealand,Sri Lanka,Pallekele International Cricket Stadium,125,88,Sri Lanka,1
55,Pakistan,Ireland,Pakistan,Kennington Oval,159,120,Pakistan,1
550,Bangladesh,South Africa,South Africa,Newlands,144,146,South Africa,0
551,Ireland,Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",178,138,Ireland,1
